Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_chassis_link,-0.028197,6.0249E-06,0.14038,0,0,0,111.25,3.0938,-0.00024941,0.14304,7.6007,4.3992E-05,9.096,0,0,0,0,0,0,package://car/meshes/base_chassis_link.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://car/meshes/base_chassis_link.STL,,chassis-1,base coordinate system,,lidar_joint,fixed,0,0,0,0,0,0,base_chassis_link,0,0,0,5,1,-0.5236,0.5236,,,,,,,,
rear_left_wheel_link,-1.2212E-15,0.0762,1.2768E-15,0,0,0,2.2737,0.0072097,-1.7766E-17,2.5732E-35,0.012285,-1.1755E-35,0.0072097,0,0,0,0,0,0,package://car/meshes/rear_left_wheel_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://car/meshes/rear_left_wheel_link.STL,,wheel-7,left rear wheel axis,rear left axle,rear_left_diff_joint,continuous,-0.2558,0.2159,-0.0508,0,0,0,base_chassis_link,0,1,0,5,200,,,,,,,,,,
rear_right_wheel_link,7.2164E-16,-0.0762,1.3323E-15,0,0,0,2.2737,0.0072097,-1.7766E-17,1.3838E-36,0.012285,-1.3395E-35,0.0072097,0,0,0,0,0,0,package://car/meshes/rear_right_wheel_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://car/meshes/rear_right_wheel_link.STL,,wheel-6,"right rear wheel axis ",rear right axle,rear_right_diff_joint,continuous,-0.2558,-0.2159,-0.0508,0,0,0,base_chassis_link,0,-1,0,5,200,,,,,,,,,,
front_left_link,-2.0683E-08,0.026599,0.0040991,0,0,0,0.41136,0.00081789,2.9547E-10,-1.8121E-10,0.0002369,4.4852E-05,0.00082216,0,0,0,0,0,0,package://car/meshes/front_left_link.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://car/meshes/front_left_link.STL,,frontAxle-4,left front wheel axis,left wheel turn,front_left_link_joint,revolute,0.2522,0.2159,-0.0508,0,0,0,base_chassis_link,0,0,1,100,100,-2,2,,,,,,,,
front_left_wheel_link,5.55111512312578E-17,0.0762,-2.08166817117217E-17,0,0,0,2.27370840064708,0.00720966812251228,-6.12053048558235E-19,1.57219902922239E-20,0.0122845286882287,8.4926288980813E-20,0.00720966812251228,0,0,0,0,0,0,package://car/meshes/front_left_wheel_link.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://car/meshes/front_left_wheel_link.STL,,wheel-3,left front wheel axis,front left axle,front_left_wheel_joint,continuous,0,0,0,0,0,0,front_left_link,0,1,0,5,200,,,,,,,,,,
front_right_link,2.0683E-08,-0.026599,0.0040991,0,0,0,0.41136,0.00081789,2.9547E-10,1.8121E-10,0.0002369,-4.4852E-05,0.00082216,0,0,0,0,0,0,package://car/meshes/front_right_link.STL,0.49804,0.49804,0.49804,1,0,0,0,0,0,0,package://car/meshes/front_right_link.STL,,frontAxle-5,right front wheel axis,right wheel turn,front_right_link_joint,revolute,0.2522,-0.2159,-0.0508,0,0,0,base_chassis_link,0,0,1,100,100,-2,2,,,,,,,,
front_right_wheel_link,-7.2164E-16,-0.0762,1.3323E-15,0,0,0,2.2737,0.0072097,1.7672E-17,-2.2965E-35,0.012285,-3.5265E-35,0.0072097,0,0,0,0,0,0,package://car/meshes/front_right_wheel_link.STL,0.29804,0.29804,0.29804,1,0,0,0,0,0,0,package://car/meshes/front_right_wheel_link.STL,,wheel-5,right front wheel axis,front right axle,front_right_wheel_joint,continuous,0,0,0,0,0,0,front_right_link,0,-1,0,5,200,,,,,,,,,,
Lidar_link,-0.1143,0,0.4572,0,0,0,0.46333,0.00056671,0,-2.9387E-36,0.00056671,-1.733E-36,0.00033629,0,0,0,0,0,0,package://car/meshes/Lidar_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://car/meshes/Lidar_link.STL,,lidar-1,base coordinate system,,lidar_joint,fixed,0,0,0,0,0,0,base_chassis_link,0,0,0,,,,,,,,,,,,
